year,month,week,dow,day,work_day,work_in,status_one,lunch_in,status_two,lunch_out,                   status_three,work_out,total_time
2019,7,30,1,2019-07-22,True,08:40,green,12:00,green,13:22,green,18:02,08:00
2019,7,30,2,2019-07-23,True,08:42,green,12:05,green,13:25,green,18:02,08:00
2019,7,30,3,2019-07-24,True,08:35,green,12:06,green,13:37,green,18:06,08:00
2019,7,30,4,2019-07-25,True,08:35,green,11:53,green,13:24,green,18:06,08:00
2019,7,30,5,2019-07-26,True,08:40,green,13:00,green,14:00,green,17:15,07:35
2019,7,30,6,2019-07-27,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,30,7,2019-07-28,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,7,31,1,2019-07-29,True,08:28,green,11:59,green,13:00,green,17:54,08:25
2019,7,31,2,2019-07-30,True,09:00,green,12:01,green,13:01,green,18:01,08:01
2019,7,31,3,2019-07-31,True,08:39,green,12:00,green,13:21,green,18:00,08:00
2019,8,31,4,2019-08-01,True,08:55,green,12:02,green,13:02,green,17:55,08:00
2019,8,31,5,2019-08-02,True,09:06,green,12:01,green,13:04,green,18:09,08:00
2019,8,31,6,2019-08-03,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
2019,8,31,7,2019-08-04,False,00:00,gray,00:00,gray,00:00,gray,00:00,00:00
